Trend MA,MeanRev BB,Momentum ROC,MeanRev_1,Momentum_2,Trend_3,Momentum_4,Trend_5,Trend_7,MeanRev_8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
